quantidade;digital;quick;bubble
30000;0.007000;0.004000;-1.000000
40000;0.009000;0.006000;-1.000000
50000;0.011000;0.009000;-1.000000
60000;0.015000;0.010000;-1.000000
70000;0.029000;0.012000;-1.000000
80000;0.039000;0.015000;-1.000000
90000;0.053000;0.016000;-1.000000
100000;0.059000;0.019000;-1.000000
110000;0.051000;0.018000;-1.000000
120000;0.047000;0.021000;-1.000000
130000;0.052000;0.022000;-1.000000
140000;0.101000;0.026000;-1.000000
150000;0.167000;0.059000;-1.000000
160000;0.131000;0.032000;-1.000000
170000;0.096000;0.038000;-1.000000
180000;0.093000;0.033000;-1.000000
190000;0.113000;0.035000;-1.000000
200000;0.115000;0.035000;-1.000000
210000;0.131000;0.039000;-1.000000
220000;0.179000;0.038000;-1.000000
230000;0.210000;0.052000;-1.000000
240000;0.204000;0.048000;-1.000000
250000;0.284000;0.047000;-1.000000
260000;0.240000;0.047000;-1.000000
270000;0.330000;0.053000;-1.000000
280000;0.313000;0.052000;-1.000000
290000;0.318000;0.053000;-1.000000
300000;0.391000;0.058000;-1.000000
310000;0.609000;0.067000;-1.000000
320000;0.450000;0.063000;-1.000000
330000;0.458000;0.067000;-1.000000
340000;0.536000;0.067000;-1.000000
350000;0.522000;0.068000;-1.000000
360000;0.510000;0.066000;-1.000000
370000;0.616000;0.073000;-1.000000
380000;0.612000;0.076000;-1.000000
390000;0.652000;0.075000;-1.000000
400000;0.585000;0.083000;-1.000000
410000;0.677000;0.077000;-1.000000
420000;0.633000;0.082000;-1.000000
430000;0.654000;0.082000;-1.000000
440000;0.661000;0.084000;-1.000000
450000;0.694000;0.083000;-1.000000
460000;0.717000;0.086000;-1.000000
470000;0.744000;0.089000;-1.000000
480000;0.770000;0.090000;-1.000000
490000;0.814000;0.094000;-1.000000
500000;0.808000;0.095000;-1.000000
10000;0.002000;0.002000;-1.000000
20000;0.005000;0.003000;-1.000000
30000;0.007000;0.005000;-1.000000
40000;0.010000;0.006000;-1.000000
50000;0.012000;0.008000;-1.000000
60000;0.017000;0.010000;-1.000000
70000;0.029000;0.012000;-1.000000
80000;0.029000;0.014000;-1.000000
90000;0.027000;0.015000;-1.000000
100000;0.059000;0.018000;-1.000000
110000;0.045000;0.020000;-1.000000
120000;0.053000;0.020000;-1.000000
130000;0.060000;0.026000;-1.000000
140000;0.057000;0.025000;-1.000000
150000;0.064000;0.027000;-1.000000
160000;0.096000;0.030000;-1.000000
170000;0.104000;0.030000;-1.000000
180000;0.094000;0.032000;-1.000000
190000;0.110000;0.036000;-1.000000
200000;0.116000;0.038000;-1.000000
210000;0.148000;0.041000;-1.000000
220000;0.163000;0.039000;-1.000000
230000;0.168000;0.041000;-1.000000
240000;0.192000;0.043000;-1.000000
250000;0.207000;0.045000;-1.000000
260000;0.250000;0.050000;-1.000000
270000;0.248000;0.051000;-1.000000
280000;0.280000;0.050000;-1.000000
290000;0.301000;0.054000;-1.000000
300000;0.319000;0.054000;-1.000000
310000;0.339000;0.056000;-1.000000
320000;0.382000;0.057000;-1.000000
330000;0.396000;0.068000;-1.000000
340000;0.406000;0.062000;-1.000000
350000;0.438000;0.064000;-1.000000
360000;0.469000;0.067000;-1.000000
370000;0.499000;0.068000;-1.000000
380000;0.512000;0.070000;-1.000000
390000;0.534000;0.071000;-1.000000
400000;0.561000;0.079000;-1.000000
410000;0.611000;0.078000;-1.000000
420000;0.610000;0.077000;-1.000000
430000;0.630000;0.080000;-1.000000
440000;0.677000;0.083000;-1.000000
